ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
29	A-1314_7272023_1212_028.gcd	Unknown	0	5.999	1344395	101118	152.802	-----	41.343	34.854	-----	-----
30	A-1315_7272023_1212_029.gcd	Unknown	0	5.998	4759637	355305	540.972	-----	19.809	15.993	-----	-----
31	A-1316_7272023_1212_030.gcd	Unknown	0	5.999	4259925	318599	484.176	-----	22.963	18.687	-----	-----
32	A-1319_7272023_1212_031.gcd	Unknown	0	5.999	3838849	286648	436.317	-----	18.421	14.866	-----	-----
33	A-1320_7272023_1212_032.gcd	Unknown	0	5.997	4687795	351074	532.807	-----	78.959	73.936	-----	-----
34	A-1321_7272023_1212_033.gcd	Unknown	0	5.998	4671275	349138	530.929	-----	79.12	74.153	-----	-----
35	A-1352_7272023_1212_034.gcd	Unknown	0	5.998	4838924	362144	549.984	-----	78.273	73.058	-----	-----
36	A-1353_7272023_1212_035.gcd	Unknown	0	5.998	4780502	357142	543.344	-----	80.066	75.209	-----	-----
37	A-1356_7272023_1212_036.gcd	Unknown	0	5.998	4653276	348650	528.883	-----	79.869	74.871	-----	-----
38	A-1357_7272023_1212_037.gcd	Unknown	0	5.999	4741061	355117	538.861	-----	79.393	74.387	-----	-----
39	A-1369_7272023_1212_038.gcd	Unknown	0	5.997	2105721	158361	239.333	-----	37.412	31.305	-----	-----
40	A-1346_7272023_1212_039.gcd	Unknown	0	5.998	1999039	150073	227.207	-----	40.213	33.93	-----	-----
41	A-1345_7272023_1212_040.gcd	Unknown	0	5.998	2318327	174373	263.497	-----	44.597	37.962	-----	-----
42	A-1335_7272023_1212_041.gcd	Unknown	0	5.999	1530993	115142	174.01	-----	47.488	40.713	-----	-----
43	A-1344_7272023_1212_042.gcd	Unknown	0	5.998	2038475	153284	231.69	-----	59.717	52.949	-----	-----
44	A-1343_7272023_1212_043.gcd	Unknown	0	5.998	1404796	105539	159.667	-----	51.706	44.917	-----	-----
45	A-1342_7272023_1212_044.gcd	Unknown	0	5.999	1364429	102388	155.079	-----	45.441	38.807	-----	-----
46	A-1334_7272023_1212_045.gcd	Unknown	0	5.998	1384631	103977	157.375	-----	44.852	38.209	-----	-----
47	A-1333_7272023_1212_046.gcd	Unknown	0	5.999	1380849	103700	156.945	-----	43.634	37.067	-----	-----
48	A-1367_7272023_1212_047.gcd	Unknown	0	5.999	1484694	111412	168.748	-----	45.65	39.016	-----	-----
49	A-1337_7272023_1212_048.gcd	Unknown	0	5.999	1736845	130620	197.407	-----	54.137	47.29	-----	-----
50	200$200$0_7272023_1212_049.gcd	Unknown	0	5.998	2058316	154604	233.945	-----	59.428	52.627	-----	-----
51	0$0$0.5_7272023_1212_050.gcd	Unknown	0	5.997	641125	47763	72.869	-----	98.831	98.555	-----	-----
52	A-1336_7272023_1212_051.gcd	Unknown	0	5.999	1380474	103706	156.902	-----	41.029	34.61	-----	-----
53	A-1347_7272023_1212_052.gcd	Unknown	0	5.998	6256549	466383	711.109	-----	84.116	79.993	-----	-----
54	A-1326_7272023_1212_053.gcd	Unknown	0	5.999	6235523	465763	708.719	-----	80.805	76.018	-----	-----
55	A-1325_7272023_1212_054.gcd	Unknown	0	5.999	6213648	462849	706.233	-----	81.12	76.422	-----	-----
56	A-1339_7272023_1212_055.gcd	Unknown	0	5.999	6457297	482348	733.925	-----	76.203	70.633	-----	-----
57	A-1330_7272023_1212_056.gcd	Unknown	0	5.999	6317739	471282	718.063	-----	74.49	68.735	-----	-----
58	A-1331_7272023_1212_057.gcd	Unknown	0	6	6177428	459217	702.116	-----	76.133	70.661	-----	-----
59	A-1341_7272023_1212_058.gcd	Unknown	0	5.999	1293208	96879	146.984	-----	63.175	56.661	-----	-----
60	A-1340_7272023_1212_059.gcd	Unknown	0	5.999	1438173	107809	163.46	-----	59.792	53.12	-----	-----
61	A-1323_7272023_1212_060.gcd	Unknown	0	5.998	1209106	90614	137.425	-----	61.461	54.852	-----	-----
62	A-1332_7272023_1212_061.gcd	Unknown	0	5.997	1207039	90459	137.19	-----	60.688	53.961	-----	-----
63	A-1329_7272023_1212_062.gcd	Unknown	0	5.998	1193782	89284	135.683	-----	66.137	59.902	-----	-----
64	A-1364_7272023_1212_063.gcd	Unknown	0	5.998	1308825	98060	148.759	-----	62.137	55.475	-----	-----
65	A-1328_7272023_1212_064.gcd	Unknown	0	5.999	3957182	296240	449.767	-----	83.27	79.016	-----	-----
66	A-1378_7272023_1212_065.gcd	Unknown	0	5.999	4206877	316463	478.146	-----	83.767	79.404	-----	-----
67	A-1362_7272023_1212_066.gcd	Unknown	0	5.998	4014170	299840	456.244	-----	82.302	77.883	-----	-----
